user_id,event_timestamp,event_name,item_id
U-01,2026-06-01T10:00:00,session_start,
U-01,2026-06-01T10:03:00,view_item,LST-501
U-01,2026-06-01T10:07:00,add_to_wishlist,LST-501
U-01,2026-06-02T11:00:00,purchase,LST-501
U-01,2026-06-05T12:00:00,review_submitted,LST-501
U-02,2026-06-03T09:00:00,session_start,
U-02,2026-06-03T09:04:00,view_item,LST-502
U-02,2026-06-03T09:08:00,view_item,LST-503
U-02,2026-06-03T09:12:00,add_to_wishlist,LST-503
U-03,2026-06-05T14:00:00,session_start,
U-03,2026-06-05T14:03:00,view_item,LST-504
U-04,2026-06-08T15:00:00,session_start,
U-04,2026-06-08T15:02:00,view_item,LST-505
U-04,2026-06-08T15:06:00,add_to_wishlist,LST-505
U-04,2026-06-09T16:00:00,purchase,LST-505
U-05,2026-06-12T17:00:00,session_start,
U-05,2026-06-12T17:04:00,view_item,LST-506
U-05,2026-06-12T17:09:00,view_item,LST-507
U-06,2026-06-15T18:00:00,session_start,
U-06,2026-06-15T18:03:00,view_item,LST-508
U-06,2026-06-15T18:07:00,add_to_wishlist,LST-508
U-06,2026-06-17T19:00:00,purchase,LST-508
U-06,2026-06-20T20:00:00,review_submitted,LST-508
U-07,2026-06-22T10:00:00,session_start,
U-07,2026-06-22T10:05:00,view_item,LST-509
