user_id,event_timestamp,event_name,item_id,item_price,previous_price,origin,destination
U-01,2026-06-01T09:00:00,search_flight,,,,IST,AMS
U-01,2026-06-01T09:05:00,view_item,FL-IST-AMS-0812,4200,,IST,AMS
U-01,2026-06-01T09:10:00,add_to_wishlist,FL-IST-AMS-0812,4200,,IST,AMS
U-02,2026-06-02T11:00:00,search_flight,,,,SAW,ADB
U-02,2026-06-02T11:04:00,view_item,FL-SAW-ADB-0715,1450,,SAW,ADB
U-02,2026-06-02T11:20:00,begin_checkout,FL-SAW-ADB-0715,1450,,SAW,ADB
U-02,2026-06-02T11:35:00,purchase,FL-SAW-ADB-0715,1450,,SAW,ADB
U-03,2026-06-03T14:00:00,search_flight,,,,IST,BJV
U-03,2026-06-03T14:06:00,view_item,FL-IST-BJV-0901,2100,,IST,BJV
U-03,2026-06-03T14:12:00,add_to_wishlist,FL-IST-BJV-0901,2100,,IST,BJV
U-04,2026-06-04T10:00:00,search_flight,,,,ESB,AYT
U-04,2026-06-04T10:03:00,view_item,FL-ESB-AYT-0810,1780,,ESB,AYT
U-05,2026-06-05T16:00:00,search_flight,,,,IST,AMS
U-05,2026-06-05T16:05:00,view_item,FL-IST-AMS-0812,4200,,IST,AMS
U-05,2026-06-05T16:15:00,add_to_cart,FL-IST-AMS-0812,4200,,IST,AMS
,2026-06-08T06:00:00,price_drop,FL-IST-AMS-0812,3650,4200,IST,AMS
,2026-06-09T06:00:00,price_drop,FL-IST-BJV-0901,1890,2100,IST,BJV
U-01,2026-06-08T10:00:00,purchase,FL-IST-AMS-0812,3650,,IST,AMS
U-06,2026-06-06T09:00:00,search_flight,,,,SAW,ESB
U-06,2026-06-06T09:04:00,view_item,FL-SAW-ESB-0720,980,,SAW,ESB
